repo,login,country,city,lat,lon,contributions
scikit-learn/scikit-learn,raghavrv,France,Paris,48.8566,2.3522,140
scikit-learn/scikit-learn,jjerphan,France,Paris,48.8566,2.3522,132
scikit-learn/scikit-learn,rth,France,Paris,48.8566,2.3522,132
scikit-learn/scikit-learn,StefanieSenger,Germany,Berlin,52.52,13.405,113
scikit-learn/scikit-learn,TomDLT,United States,San Francisco,37.7749,-122.4194,113
scikit-learn/scikit-learn,cmarmo,France,Paris,48.8566,2.3522,105
scikit-learn/scikit-learn,clayw,United States,San Francisco,37.7749,-122.4194,103
ray-project/ray,sven1977,United States,San Francisco,37.7749,-122.4194,1170
ray-project/ray,jjyao,United States,San Francisco,37.7749,-122.4194,581
ray-project/ray,justinvyu,United States,San Francisco,37.7749,-122.4194,363
ray-project/ray,ijrsvt,United States,San Francisco,37.7749,-122.4194,307
ray-project/ray,scv119,United States,San Francisco,37.7749,-122.4194,287
ray-project/ray,kevin85421,United States,San Francisco,37.7749,-122.4194,249
ray-project/ray,DmitriGekhtman,United States,San Francisco,37.7749,-122.4194,195
jax-ml/jax,mattjj,United States,San Francisco,37.7749,-122.4194,2830
jax-ml/jax,apaszke,Germany,Berlin,52.52,13.405,1091
jax-ml/jax,superbobry,United Kingdom,London,51.5072,-0.1276,925
jax-ml/jax,sharadmv,United States,San Francisco,37.7749,-122.4194,459
jax-ml/jax,justinjfu,United States,San Francisco,37.7749,-122.4194,229
jax-ml/jax,danielsuo,United States,New York,40.7128,-74.006,199
jax-ml/jax,chr1sj0nes,United Kingdom,London,51.5072,-0.1276,155
jax-ml/jax,shoyer,United States,San Francisco,37.7749,-122.4194,152
jax-ml/jax,ayaka14732,United Kingdom,London,51.5072,-0.1276,87
jax-ml/jax,cperivol,United Kingdom,London,51.5072,-0.1276,87
jax-ml/jax,hyeontaek,United States,San Francisco,37.7749,-122.4194,83
jax-ml/jax,levskaya,United States,San Francisco,37.7749,-122.4194,80
