repo,text_cluster,text_x,text_y,main_topic,readme_keywords,commit_type
floci-io/floci,1,0.15169169,-0.17527391,数据科学工具,aws;aws-emulation;devops;docker;ec2;ecs;localstack;s3;sqs;testcontainers,feat
metalbear-co/mirrord,1,0.27356818,-0.025305066,数据科学工具,api;backend;backend-development;cli;cloud;cloud-native;debug;develop;developer-tools;development;devops;devtool;ide;kubernetes;rust;shift-left;sniffer;traffic;vscode;vscode-extension,chore
sacridini/Awesome-Geospatial,0,-0.33107227,-0.13681306,深度学习框架,awesome;awesome-list;data-analysis;deep-learning;earth-observation;geoprocessing;geospatial;geospatial-analysis;geotools;gis;machine-learning;map;remote-sensing;spatial-analysis;spatial-data,chore
Mai-with-u/MaiBot,5,-0.08163443,0.25189188,搜索与向量检索,agent;chat;chatbot;llm;llm-agent;llms;python;qq-bot;qqbot,chore
clidey/whodb,3,-0.016859388,-0.29503497,分布式计算,anthropic;;data-analysis;data-visualization;database;elasticsearch;explorer;golang;lightweight;mariadb;mongodb;mysql;ollama;openai;postgresql;reactjs;sqlite3;typescript;vite,chore
Tracer-Cloud/opensre,5,-0.232757,0.12786007,搜索与向量检索,ai-sre;alerting;datadog;grafana;incident-management;observability;remediation;root-cause-analysis;site-reliability-engineering;slack;sre,fix
pytorch/executorch,4,0.047782324,0.49523282,可视化与应用,deep-learning;embedded;gpu;machine-learning;mobile;neural-network;tensor,chore
EasyCorp/EasyAdminBundle,3,0.087943755,-0.22283027,分布式计算,admin;backend;bundle;generator;hacktoberfest;php;symfony;symfony-bundle,chore
SwanHubX/SwanLab,4,-0.09726957,0.299491,可视化与应用,ai-infra;data-science;deep-learning;llm;logging;machine-learning;mlops;model-versioning;python;pytorch;tensorboard;tensorflow;tracking;training;transformers;visualization,feat
IBM/mcp-context-forge,5,-0.12538512,-0.030225866,搜索与向量检索,agents;ai;api-gateway;asyncio;authentication-middleware;devops;docker;fastapi;federation;gateway;generative-ai;jwt;kubernetes;llm-agents;mcp;model-context-protocol;observability;prompt-engineering;python;tools,fix
web-infra-dev/rsbuild,2,0.37287062,-0.02811024,大模型应用,build-tool;bundler;frontend;javascript;rsbuild;rspack;rstack;typescript;webpack,chore
