repo,text_cluster,text_x,text_y,main_topic,readme_keywords,commit_type
run-llama/llama_index,5,0.07730618,0.058346137,搜索与向量检索,agents;application;data;fine-tuning;framework;llamaindex;llm;multi-agents;rag;vector-database,chore
pandas-dev/pandas,4,-0.1326088,0.098835655,可视化与应用,alignment;data-analysis;data-science;flexible;pandas;python,chore
hashicorp/terraform,5,-0.19987227,-0.09595206,搜索与向量检索,cloud;cloud-management;graph;infrastructure-as-code;terraform,chore
prisma/prisma,3,0.054330364,-0.29728404,分布式计算,cockroachdb;database;javascript;mariadb;mongo;mongodb;mongodb-orm;mssql;mysql;nodejs;orm;postgres;postgresql;prisma;prisma-client;query-builder;sql-server;sqlite;sqlserver;typescript,fix
apache/airflow,0,-0.3909418,-0.16040705,深度学习框架,airflow;apache;apache-airflow;automation;dag;data-engineering;data-integration;data-orchestrator;data-pipelines;data-science;elt;etl;machine-learning;mlops;orchestration;python;scheduler;workflow;workflow-engine;workflow-orchestration,fix
streamlit/streamlit,0,-0.27604616,-0.10524735,深度学习框架,data-analysis;data-science;data-visualization;deep-learning;developer-tools;machine-learning;python;streamlit,chore
milvus-io/milvus,3,-0.05809179,-0.0075206943,分布式计算,anns;cloud-native;diskann;distributed;embedding-database;embedding-similarity;embedding-store;faiss;golang;hnsw;image-search;llm;nearest-neighbor-search;rag;vector-database;vector-search;vector-similarity;vector-store,fix
getsentry/sentry,5,-0.034043703,-0.007135381,搜索与向量检索,apm;crash-reporting;crash-reports;csp-report;devops;django;error-logging;error-monitoring;fair-source;hacktoberfest;monitor;monitoring;python;sentry;tag-production,chore
apache/spark,0,-0.599516,-0.21316424,深度学习框架,big-data;java;jdbc;python;r;scala;spark;sql,chore
gradio-app/gradio,4,0.062557094,0.20800543,可视化与应用,data-analysis;data-science;data-visualization;deep-learning;deploy;gradio;gradio-interface;interface;machine-learning;models;python;python-notebook;ui;ui-components,fix
ray-project/ray,4,-0.24803478,0.3044942,可视化与应用,data-science;deep-learning;deployment;distributed;hyperparameter-optimization;hyperparameter-search;large-language-models;llm;llm-inference;llm-serving;machine-learning;optimization;parallel;python;pytorch;ray;reinforcement-learning;rllib;serving;tensorflow,chore
HKUDS/nanobot,5,0.21442463,0.35293105,搜索与向量检索,ai;ai-agent;ai-agents;anthropic;chatgpt;claude;claude-code;codex;llm;nanobot;openai;openclaw,refactor
pingcap/tidb,3,-0.37291908,-0.09872328,分布式计算,agent;agent-context;agent-memory;agentic;ai;cloud-native;database;distributed-database;distributed-transactions;go;hacktoberfest;htap;memory;mysql;mysql-compatibility;scale;serverless;sql;tidb,chore
facebookresearch/faiss,4,-0.4090241,0.12817338,可视化与应用,,chore
photoprism/photoprism,4,0.120037936,0.22593503,可视化与应用,ai;golang;google-photos;machine-learning;photography;private-cloud;self-hosted;tensorflow,chore
istio/istio,1,0.1940755,0.0073804497,数据科学工具,api-management;circuit-breaker;consul;enforce-policies;envoy;fault-injection;kubernetes;lyft-envoy;microservice;microservices;nomad;polyglot-microservices;proxies;request-routing;resiliency;service-mesh,chore
duckdb/duckdb,3,0.16287458,-0.21760173,分布式计算,analytics;database;embedded-database;olap;sql,chore
docker/compose,1,0.16404161,-0.25969964,数据科学工具,docker;docker-compose;go;golang;orchestration,chore
typeorm/typeorm,3,0.15717997,-0.2648163,分布式计算,active-record;cockroachdb;data-mapper;database;hacktoberfest;javascript;mariadb;mysql;orm;postgresql;sqlite;sqlserver;typeorm;typescript,fix
jax-ml/jax,4,0.050059516,0.12524228,可视化与应用,jax,chore
nextcloud/server,1,0.00094228925,-0.1973158,数据科学工具,cloud;collaboration;decentralized;design;distributed;enterprise;federation;file-sharing;free-software;hacktoberfest;javascript;nextcloud;open-source;opensource;owncloud;php;self-hosting;sharing;usability;ux,chore
PostHog/posthog,3,-0.04162057,-0.22985227,分布式计算,ab-testing;ai-analytics;analytics;cdp;data-warehouse;experiments;feature-flags;javascript;product-analytics;python;react;session-replay;surveys;typescript;web-analytics,feat
alibaba/nacos,1,0.17192215,-0.013205078,数据科学工具,a2a-registry;agent;ai-registry;configuration-management;distributed-configuration;dubbo;istio;kubernetes;mcp;mcp-management;mcp-registry;microservices;nacos;prompt;skills;spring-cloud,chore
lutzroeder/netron,4,-0.13570823,0.3375961,可视化与应用,ai;coreml;deep-learning;deeplearning;keras;machine-learning;machinelearning;ml;neural-network;numpy;onnx;pytorch;safetensors;tensorflow;tensorflow-lite;visualizer,chore
apache/kafka,1,0.21624008,-0.09259202,数据科学工具,java;kafka;scala;streaming,chore
seaweedfs/seaweedfs,1,0.011069649,-0.2596556,数据科学工具,blob-storage;cloud-drive;distributed-file-system;distributed-storage;distributed-systems;erasure-coding;fuse;hadoop-hdfs;hdfs;kubernetes;object-storage;posix;replication;s3;s3-storage;seaweedfs;tiered-file-system,test
cockroachdb/cockroach,3,-0.28693795,-0.3604778,分布式计算,cockroachdb;database;distributed-database;go;hacktoberfest;sql,chore
numpy/numpy,4,0.11801396,0.34983885,可视化与应用,numpy;python,chore
hasura/graphql-engine,3,-0.1873754,-0.26313493,分布式计算,access-control;api;automatic-api;bigquery;graphql;graphql-api;graphql-server;haskell;hasura;mongodb;postgres;rest-api;sql-server;subgraph;supergraph,chore
qdrant/qdrant,4,-0.11184443,0.24352986,可视化与应用,ai-search;ai-search-engine;embeddings-similarity;hnsw;hybrid-search;image-search;knn-algorithm;machine-learning;mlops;nearest-neighbor-search;neural-network;neural-search;recommender-system;search;search-engine;search-engines;similarity-search;vector-database;vector-search;vector-search-engine,chore
openai/openai-python,5,-0.25745502,0.038709074,搜索与向量检索,openai;python,chore
helm/helm,1,0.23964071,-0.038702454,数据科学工具,chart;charts;cncf;helm;kubernetes,chore
academic/awesome-datascience,5,-0.18645938,0.12581152,搜索与向量检索,analytics;awesome-list;data-mining;data-science;data-scientists;data-visualization;deep-learning;hacktoberfest;machine-learning;science,chore
alibaba/spring-cloud-alibaba,1,-0.03133742,-0.24872825,数据科学工具,alibaba;alibaba-middleware;alibaba-oss;aliyun;circuit-breaker;cloud-native;distributed-configuration;distributed-messaging;distributed-transaction;dubbo;java;microservices;nacos;rocketmq;service-discovery;service-registry;spring;spring-cloud;spring-cloud-alibaba;spring-cloud-core,chore
dmlc/xgboost,4,-0.12578142,0.16827662,可视化与应用,distributed-systems;gbdt;gbm;gbrt;machine-learning;xgboost,chore
chroma-core/chroma,3,0.12615325,0.09078078,分布式计算,agents;ai;ai-agents;database;rust;rust-lang,test
langfuse/langfuse,5,-0.030801253,0.03233436,搜索与向量检索,analytics;autogen;evaluation;langchain;large-language-models;llama-index;llm;llm-evaluation;llm-observability;llmops;monitoring;observability;open-source;openai;playground;prompt-engineering;prompt-management;self-hosted;ycombinator,fix
apache/flink,0,-0.61577815,-0.23799527,深度学习框架,big-data;flink;java;python;scala;sql,chore
mlflow/mlflow,5,-0.30308542,0.23089112,搜索与向量检索,agentops;agents;ai;ai-governance;apache-spark;evaluation;langchain;llm-evaluation;llmops;machine-learning;ml;mlflow;mlops;model-management;observability;open-source;openai;prompt-engineering,chore
pulumi/pulumi,1,0.33485904,-0.072483815,数据科学工具,aws;azure;cloud;cloud-computing;containers;csharp;dotnet;fsharp;gcp;go;golang;iac;infrastructure-as-code;javascript;kubernetes;python;serverless;typescript,chore
clockworklabs/SpacetimeDB,3,0.08876787,-0.13859122,分布式计算,database;dataoriented;game-development;mmorpg-server;relational;relational-database;web-development;web-framework,chore
PaddlePaddle/Paddle,4,-0.13189712,0.3232575,可视化与应用,deep-learning;distributed-training;efficiency;machine-learning;neural-network;paddlepaddle;python;scalability,chore
volcengine/OpenViking,5,-0.21051803,0.13749823,搜索与向量检索,agent;agentic-rag;ai-agents;clawbot;context-database;context-engineering;filesystem;llm;memory;openclaw;opencode;rag;skill,fix
Tencent/ncnn,4,-0.09572592,0.41704857,可视化与应用,android;arm-neon;artificial-intelligence;caffe;darknet;deep-learning;high-preformance;inference;ios;keras;mlir;mxnet;ncnn;neural-network;onnx;pytorch;riscv;simd;tensorflow;vulkan,chore
phoenixframework/phoenix,1,0.2845517,0.026404625,数据科学工具,api-server;distributed;elixir;realtime;web-framework,chore
argoproj/argo-cd,1,0.278749,-0.15004697,数据科学工具,argo;argo-cd;cd;ci-cd;cicd;continuous-delivery;continuous-deployment;devops;docker;gitops;hacktoberfest;helm;jsonnet;kubernetes;kustomize;pipeline,chore
matplotlib/matplotlib,4,0.16529654,0.27923188,可视化与应用,data-science;data-visualization;gtk;matplotlib;plotting;python;qt;tk;wx,chore
jaegertracing/jaeger,1,0.26926312,0.025464714,数据科学工具,cncf;distributed-tracing;hacktoberfest;jaeger;observability;opentelemetry;tracing,chore
jhipster/generator-jhipster,1,0.1669491,-0.26498237,数据科学工具,angular;cloud;docker;generator;hacktoberfest;java;jhipster;kubernetes;react;spring-boot;webpack;yeoman-generator,chore
